Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
apple-iphone-4-16gb-k9vj23,Apple iPhone 4 16GB (K9VJ23),"Spesifikasjoner:
Vekt: 137g
Dimensjon: 115.2 x 58.6 x 9.3 mm
Skjerm Størrelse: 3,5-inch
OS: iOS upgradable to iOS 7.1.2
CPU: 1.0 GHz Cortex-A8
RAM: 512GB
Batteri: 1420mAh
Kamera: 5MP
Front Kamera: VGA",BuiltOn Store,Smartphone,iphone Smartphone,true,Title,Default,,,,,,1500,shopify,0,deny,manual,1500,,true,false,5af0696ec00a94000ad73c1f,https://cdn.shopify.com/s/files/1/2424/9275/products/8fc4982ec1b7811e921632c7a884ae30_e142fd74-3f3d-4f06-9e3d-0eadc134620b.jpg?v=1525706292,1,,false,,,,,,,,,,,,,,,,,kg,,
apple-iphone-4-8gb-62d7zx,Apple iPhone 4 8GB (62D7ZX),"Spesifikasjoner:
Vekt: 137g
Dimensjon: 115.2 x 58.6 x 9.3 mm
Skjerm Størrelse: 3,5-inch
OS: iOS upgradable to iOS 7.1.2
CPU: 1.0 GHz Cortex-A8
RAM: 512GB
Batteri: 1420mAh
Kamera: 5MP
Front Kamera: VGA",Apple,Smartphone,"4s, iphone Smartphone",true,Title,Default,,,,,,1250,shopify,0,deny,manual,0,,true,false,5af0696ec00a94000ad73c1e,https://cdn.shopify.com/s/files/1/2424/9275/products/8fc4982ec1b7811e921632c7a884ae30_fc9e8033-811f-4b04-9bc5-0d4838e82090.jpg?v=1525706227,1,,false,,,,,,,,,,,,,,,,,kg,,
apple-iphone-5-32gb-grade-a-m836xn,Apple iPhone 5 32GB - Grade A+ (M836XN),"Spesifikasjoner:
Vekt: 112g
Dimensjon: 123.8 x 58.6 x 7.6 mm
Skjerm Størrelse: 4""-inch
OS: iOS 6, upgradable to iOS 10.3.3
CPU: Dual-core 1.3 GHz Swift (ARM v7-based)
RAM: 1GB
Batteri: 1440mAh
Kamera: 8MP
Front Kamera: 1,2MP",Apple,Smartphone,"iphone 5, Smartphone",true,Title,Default,,,,,,1270,shopify,0,deny,manual,990,,true,false,5af02b139119df000aaa65b6,https://cdn.shopify.com/s/files/1/2424/9275/products/afd5d8094086eeb7c98a3e46d622f5cf.jpg?v=1525689315,1,,false,,,,,,,,,,,,,,,,,kg,,
apple-iphone-4s-16gb-grade-c-8qjvqg,Apple iPhone 4S 16GB - Grade C (8QJVQG),"Spesifikasjoner:
Vekt: 140g
Dimensjon: 115.2 x 58.6 x 9.3 mm
Skjerm Størrelse: 3,5-inch
OS: iOS 5, upgradable to iOS 9.3.5
CPU: Dual-core 1.0 GHz Cortex-A9
RAM: 512GB
Batteri: 1420mAh
Kamera: 8MP
Front Kamera: VGA",Apple,Smartphone,"iphone, iphone 4s, Smartphone",true,Title,Default,,,,,,1250,shopify,0,deny,manual,590,,true,false,5af02b139119df000aaa65b5,https://cdn.shopify.com/s/files/1/2424/9275/products/be07149cd8ca8ab97ec08472c1158ab5.jpg?v=1525689265,1,,false,,,,,,,,,,,,,,,,,kg,,
apple-iphone-4s-8gb-grade-a-q2rvdg,Apple iPhone 4S 8GB - Grade A (Q2RVDG),"Spesifikasjoner:
Vekt: 140g
Dimensjon: 115.2 x 58.6 x 9.3 mm
Skjerm Størrelse: 3,5-inch
OS: iOS 5, upgradable to iOS 9.3.5
CPU: Dual-core 1.0 GHz Cortex-A9
RAM: 512GB
Batteri: 1420mAh
Kamera: 8MP
Front Kamera: VGA",Apple,Smartphone,"4s, iphone 4s, Smartphone",true,Title,Default,,,,,,900,shopify,0,deny,manual,690,,true,false,5ae98cb74cfce700082cdc5b,https://cdn.shopify.com/s/files/1/2424/9275/products/627675b1b4bf388a005045d073033fa3.jpg?v=1525686634,1,,false,,,,,,,,,,,,,,,,,kg,,
apple-iphone-4-8gb-grade-b-gekdd7,Apple iPhone 4 8GB - Grade B (GEKDD7),"Spesifikasjoner:
Vekt: 137g
Dimensjon: 115.2 x 58.6 x 9.3 mm
Skjerm Størrelse: 3,5-inch
OS: iOS upgradable to iOS 7.1.2
CPU: 1.0 GHz Cortex-A8
RAM: 512GB
Batteri: 1420mAh
Kamera: 5MP
Front Kamera: VGA",Apple,Smartphone,"4s, iphone Smartphone",true,Title,Default,,,,,,1780,shopify,0,deny,manual,590,,true,false,5ae98cb74cfce700082cdc5a,https://cdn.shopify.com/s/files/1/2424/9275/products/8fc4982ec1b7811e921632c7a884ae30_08442299-b2ff-4ac4-9ea6-2ddce7d2baaf.jpg?v=1525686199,1,,false,,,,,,,,,,,,,,,,,kg,,
apple-iphone-6-16gb-grade-c-q2ryg2-1,Apple iPhone 6 16GB - Grade C (Q2RYG2),"Spesifikasjoner:
Vekt: 129g
Dimensjon: 138.1 x 67 x 6.9 mm
Skjerm Størrelse: 4,7-inch
OS: iOS 8, upgradable to iOS 11.2.5
CPU: Apple A8, Dual-core 1.4 GHz Typhoon (ARM v8-based) 
RAM: 1GB
Batteri: 1810mAh
Kamera: 8MP
Front Kamera: 1,2MP",BuiltOn Store,Smartphone,"16gb, iphone 6",true,Title,Default,,,,,,1500,shopify,1,deny,manual,2590,,true,false,5aec1fad1f7cdc0009c7a49b,https://cdn.shopify.com/s/files/1/2424/9275/products/df862bd563975cebe89fe276b5d03e5e_a67e48e0-21bc-4868-82db-6932729d9a8f.jpg?v=1525424399,1,,false,,,,,,,,,,,,,,,,,kg,,
apple-iphone-6-16gb-grade-c-q2ryg2,Apple iPhone 6 16GB - Grade C (Q2RYG2),"Spesifikasjoner:
Vekt: 129g
Dimensjon: 138.1 x 67 x 6.9 mm
Skjerm Størrelse: 4,7-inch
OS: iOS 8, upgradable to iOS 11.2.5
CPU: Apple A8, Dual-core 1.4 GHz Typhoon (ARM v8-based) 
RAM: 1GB
Batteri: 1810mAh
Kamera: 8MP
Front Kamera: 1,2MP",BuiltOn Store,Smartphone,"16gb, iphone 6",true,Title,Default,,,,,,1015,shopify,0,deny,manual,2590,,true,false,5aec1fad1f7cdc0009c7a49b,https://cdn.shopify.com/s/files/1/2424/9275/products/df862bd563975cebe89fe276b5d03e5e_e5f08a48-7112-4777-8c87-e9b215a0bf2d.jpg?v=1525424399,1,,false,,,,,,,,,,,,,,,,,kg,,
apple-iphone-5s-16gb-9e3349,Apple iPhone 5S 16GB (9E3349),"Spesifikasjoner:
Vekt: 112g
Dimensjon: (123.8 x 58.6 x 7.6 mm )
Skjerm Størrelse: 4,0-inch
OS: iOS 7, upgradable to iOS 11.3
CPU: Dual-core 1.3 GHz Cyclone (ARM v8-based)
RAM: 1GB
Batteri: 1560mAh
Kamera: 8MP
Front Kamera: 1,2MP",Apple,Smartphone,"16gb, iphone 5s, Smartphone",true,Title,Default,,,,,,1002,shopify,0,deny,manual,1490,,true,false,5ae1cae65803f2000927a040,https://cdn.shopify.com/s/files/1/2424/9275/products/73d53047ba5a39dfe6129367374ca0e3_1803393f-b205-4a81-9c69-92804835b921.jpg?v=1525256726,1,,false,,,,,,,,,,,,,,,,,kg,,
apple-iphone-6-16gb-8qxwdj,Apple iPhone 6 16GB (8QXWDJ),"Spesifikasjoner:
Vekt: 129g
Dimensjon: 138.1 x 67 x 6.9 mm
Skjerm Størrelse: 4,7-inch
OS: iOS 8, upgradable to iOS 11.2.5
CPU: Apple A8, Dual-core 1.4 GHz Typhoon (ARM v8-based) 
RAM: 1GB
Batteri: 1810mAh
Kamera: 8MP
Front Kamera: 1,2MP",BuiltOn Store,Smartphone,"16gb, iphone 6",true,Title,Default,,,,,,1000,shopify,0,deny,manual,2490,,true,false,5ae1cae65803f2000927a03f,https://cdn.shopify.com/s/files/1/2424/9275/products/df862bd563975cebe89fe276b5d03e5e_d0f4ba8e-17d1-4b32-97a5-2b164bb08106.jpg?v=1525256656,1,,false,,,,,,,,,,,,,,,,,kg,,
